es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Manzana,Apple,,Frutas y derivados,Fruits and fruit products,,209.1,kJ,0.2,g,0,mg
Albaricoque,Apricot,,Frutas y derivados,Fruits and fruit products,,175.1,kJ,0.01,g,0,mg
Aguacate,Avocado,,Frutas y derivados,Fruits and fruit products,,569.8,kJ,1.41,g,0,mg
Aguacate congelado,Avocado frozen,,Frutas y derivados,Fruits and fruit products,,934.1,kJ,1.9,g,0,mg
Plátano,Banana,,Frutas y derivados,Fruits and fruit products,,371.5,kJ,0.11,g,0,mg
Arandano,Bilberry,,Frutas y derivados,Fruits and fruit products,,135.675,kJ,0,mg,NaN,g
Grosella negra cruda,Black currant raw,,Frutas y derivados,Fruits and fruit products,,149.617,kJ,0,mg,NaN,g
Chayote crudo,Chayote raw,,Frutas y derivados,Fruits and fruit products,,95.42,kJ,28,g,0,mg
Cereza,Cherry,,Frutas y derivados,Fruits and fruit products,,261.6,kJ,0.07,g,0,mg
Coco desecado,Coconut dried,,Frutas y derivados,Fruits and fruit products,,2452,kJ,49.9,g,0,mg
Coco fresco,Coconut raw,,Frutas y derivados,Fruits and fruit products,,1554,kJ,29.7,g,0,mg
Chirimoya,Custard apple,,Frutas y derivados,Fruits and fruit products,,364.4,kJ,0.2,g,0,mg
Dátil,Date,,Frutas y derivados,Fruits and fruit products,,1200,kJ,0,mg,NaN,g
Higos y brevas,Figs,,Frutas y derivados,Fruits and fruit products,,292.4,kJ,0.089,g,0,mg
Paraguaya,Flat peach,,Frutas y derivados,Fruits and fruit products,,192.4,kJ,0.011,g,0,mg
Pasta de fruta,Fruit paste,,Frutas y derivados,Fruits and fruit products,,1074.4,kJ,0,g,0,mg
Macedonia de frutas conserva en su jugo,Fruit salad canned in own juice,,Frutas y derivados,Fruits and fruit products,,444,kJ,0.004,g,0,mg
Pomelo,Grapefruit,,Frutas y derivados,Fruits and fruit products,,107.4,kJ,0,mg,NaN,g
Guayaba enlatada en almíbar,Guava canned in syrup,,Frutas y derivados,Fruits and fruit products,,273.7,kJ,0,mg,NaN,g
Guayaba sin piel cruda,Guava without skin raw,,Frutas y derivados,Fruits and fruit products,,238.44,kJ,0.17,g,0,mg
Kiwi,Kiwi,,Frutas y derivados,Fruits and fruit products,,217.4,kJ,0.1,g,0,mg
Lima cruda,Lime raw,,Frutas y derivados,Fruits and fruit products,,34.6,kJ,0,mg,NaN,g
Litchi crudo,Litchis raw,,Frutas y derivados,Fruits and fruit products,,279.78,kJ,0.1,g,0,mg
Mango crudo,Mango without skin raw,,Frutas y derivados,Fruits and fruit products,,245.4,kJ,0.05,g,0,mg
Nispero conserva en su jugo,Medlar canned in juice,,Frutas y derivados,Fruits and fruit products,,0.043,g
Níspero con piel crudo,Medlar with skin raw,,Frutas y derivados,Fruits and fruit products,,219.9,kJ,0,mg,NaN,g
Nispero sin piel  congelado,Medlar withouth skin frozen,,Frutas y derivados,Fruits and fruit products,,163.12,kJ,0.043,g,0,mg
Melón,Melon,,Frutas y derivados,Fruits and fruit products,,112.2,kJ,0.026,g,0,mg
Nectarina,Nectarine,,Frutas y derivados,Fruits and fruit products,,180.5,kJ,0,mg,NaN,g
Aceituna,Olive,,Frutas y derivados,Fruits and fruit products,,501.6,kJ,2.6,g,0,mg
Aceituna negra con hueso,Olive black with bone,,Frutas y derivados,Fruits and fruit products,,1204.6,kJ,4.2,g,0,mg
Naranja,Orange,,Frutas y derivados,Fruits and fruit products,,159.8,kJ,0.028,g,0,mg
Papaya cruda,Papaya without skin raw,,Frutas y derivados,Fruits and fruit products,,139.18,kJ,0,mg,NaN,g
Melocotón,Peach,,Frutas y derivados,Fruits and fruit products,,163.2,kJ,0.018,g,0,mg
Melocotón desecado,Peach dried,,Frutas y derivados,Fruits and fruit products,,1131.42,kJ,0.08,g,0,mg
Pera,Pear,,Frutas y derivados,Fruits and fruit products,,187,kJ,0.014,g,0,mg
Pera enlatada en almíbar,Pear canned in syrup,,Frutas y derivados,Fruits and fruit products,,257.3,kJ,0.007,g,0,mg
Caqui,Persimmon,,Frutas y derivados,Fruits and fruit products,,279.4,kJ,0,mg,NaN,g
Piña,Pineapple,,Frutas y derivados,Fruits and fruit products,,204,kJ,0,g,0,mg
Piña enlatada en su jugo,Pineapple canned in juice,,Frutas y derivados,Fruits and fruit products,,206.46,kJ,0,mg,NaN,g
Granada,Pomegranate,,Frutas y derivados,Fruits and fruit products,,261,kJ,0,mg,NaN,g
Membrillo crudo,Quince raw,,Frutas y derivados,Fruits and fruit products,,120.525,kJ,0,mg,NaN,g
Uva pasa,Raisin,,Frutas y derivados,Fruits and fruit products,,1238.42,kJ,0.16,g,0,mg
Frambuesa cruda,Raspberry raw,,Frutas y derivados,Fruits and fruit products,,158.825,kJ,0,mg,NaN,g
Grosella cruda,Red currant raw,,Frutas y derivados,Fruits and fruit products,,111.1,kJ,0,mg,NaN,g
Uva negra cruda,Red grape raw,,Frutas y derivados,Fruits and fruit products,,299.6,kJ,0.054,g,0,mg
Ciruela sin piel,Skinned plum,,Frutas y derivados,Fruits and fruit products,,197.2,kJ,0.022,g,0,mg
Fresa,Strawberry,,Frutas y derivados,Fruits and fruit products,,149.4,kJ,0.032,g,0,mg
Melocotón en almíbar,Syrup peach,,Frutas y derivados,Fruits and fruit products,,241.4,kJ,0,mg,NaN,g
Piña en almíbar,Syrup pineapple,,Frutas y derivados,Fruits and fruit products,,272.245,kJ,0.009,g,0,mg
Mandarina,Tangerine,,Frutas y derivados,Fruits and fruit products,,166.6,kJ,0.022,g,0,mg
Mandarina congelada,Tangerine frozen,,Frutas y derivados,Fruits and fruit products,,174.51,kJ,0.022,g,0,mg
Sandía,Watermelon,,Frutas y derivados,Fruits and fruit products,,83.3,kJ,0.1,g,0,mg
Uva blanca congelada,White grape frozen,,Frutas y derivados,Fruits and fruit products,,291.86,kJ,0.054,g,0,mg
Uva blanca,White grapes,,Frutas y derivados,Fruits and fruit products,,283.9,kJ,0.054,g,0,mg
Ciruela con piel cruda,Yellow plum with skin raw,,Frutas y derivados,Fruits and fruit products,,224.15,kJ,0,mg,NaN,g